AAPL
MSFT
GOOGL
GOOG
AMZN
NVDA
META
TSLA
AVGO
NFLX
AMD
ASML
COST
CSCO
PEP
TMUS
ADBE
INTC
QCOM
CMCSA
INTU
AMGN
HON
TXN
AMAT
SBUX
ISRG
BKNG
VRTX
ADP
GILD
REGN
LRCX
MDLZ
PANW
MU
ADI
KLAC
SNPS
CDNS
ABNB
PYPL
MAR
CSX
ORLY
MELI
MRVL
FTNT
WDAY
DXCM
AEP
NXPI
ADSK
PCAR
MNST
KHC
ROST
LULU
KDP
PAYX
AZN
ODFL
CTAS
CRWD
BIIB
IDXX
MRNA
ON
DDOG
TTD
FAST
XEL
ZS
GEHC
ANSS
FANG
CTSH
EA
BKR
ILMN
WBD
DLTR
TEAM
ENPH
WBA
ALGN
DASH
ZM
RIVN
LCID
CHTR
SIRI
MCHP
CDW
ARM
CCEP
